"Stationary Covariate Distribution","True ATT = 9.128","Sem. Eff. Bound = 796.812","","","",""
"n = 1000","MC reps = 5000","","","","",""
"","","","","","",""
"Panel A: TWFE Estimators","","","","","",""
"Method","Avg. Bias","Med. Bias","RMSE","Asy. Var.","Cover.","CIL"
"twfe_base","-10.649","-10.672","11.106","9907.607","0.087","12.325"
"twfe_saturated","-10.563","-10.617","10.946","7924.684","0.048","11.026"
"","","","","","",""
"Panel B: Nonparametric DR DiD Estimators","","","","","",""
"Method","Avg. Bias","Med. Bias","RMSE","Asy. Var.","Cover.","CIL"
"nstnr_ml","-0.007","-0.020","1.323","1721.037","0.946","5.133"
"nstnr_ls","-0.010","-0.027","1.328","1732.416","0.946","5.139"
"stnr_ml","-0.015","-0.024","0.958"," 926.689","0.953","3.771"
"stnr_ls","-0.016","-0.024","0.958"," 926.821","0.953","3.771"
"","","","","","",""
"Panel C: Hausman-type Test","","","","","",""
"Method","Avg. Test Stats.","Emp. Rej. Freq. (0.10)","Emp. Rej. Freq. (0.05)","Emp. Rej. Freq. (0.01)","",""
"stb_ml","1.045","0.108","0.055","0.009","",""
"stb_ls","1.045","0.107","0.056","0.009","",""
